Comarques i Aran,PIB (milions d'euros),PIB per habitant (milers d'euros),Índex Catalunya = 100
Alt Camp,"1505,9","34,1","109,4"
Alt Empordà,"3168,4","23,2","74,2"
Alt Penedès,"3201,2","29,9","95,8"
Alt Urgell,"450,6","22,3","71,4"
Alta Ribagorça,"122,4",32,"102,5"
Anoia,"2555,3","21,5","68,9"
Aran,"365,5","37,1","118,8"
Bages,"4824,5","27,7","88,7"
Baix Camp,"4556,9","24,1","77,1"
Baix Ebre,"1777,2",23,"73,6"
Baix Empordà,"3004,2","22,9","73,5"
Baix Llobregat,"26363,8","32,5","104,3"
Baix Penedès,"1908,4","18,9","60,4"
Barcelonès,"85155,8","38,1","122,2"
Berguedà,"918,8","23,6","75,6"
Cerdanya,"421,1","23,8","76,1"
Conca de Barberà,"680,3",34,"108,8"
Garraf,"2780,2",19,61
Garrigues,"432,2","22,8","73,1"
Garrotxa,"1717,4",31,"99,4"
Gironès,"5844,6","31,6","101,3"
Maresme,"9321,1","21,2","67,8"
Moianès,"291,7",22,"70,5"
Montsià,"1295,1","19,1","61,1"
Noguera,"988,3","25,8","82,8"
Osona,"4664,6",30,96
Pallars Jussà,"286,1",22,"70,5"
Pallars Sobirà,"181,9","26,4","84,5"
Pla d'Urgell,1033,28,"89,7"
Pla de l'Estany,"903,1","28,5","91,3"
Priorat,"162,2","17,5","56,2"
Ribera d'Ebre,"1113,3","51,1","163,6"
Ripollès,"595,3","23,9","76,7"
Segarra,812,"36,3","116,2"
Segrià,"5813,8","28,4","91,1"
Selva,"4285,9","25,8","82,7"
Solsonès,"356,3","26,4","84,6"
Tarragonès,"9294,4","36,9","118,1"
Terra Alta,"277,4","24,2","77,6"
Urgell,"987,7","27,5",88
Vallès Occidental,"27778,5","30,5","97,6"
Vallès Oriental,"12483,6","30,9","99,1"
Catalunya,234680,"31,2",100
,,,
Institut d'Estadística de Catalunya,,,
