NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-16;Altres;N/A;--;24;10;14;0;1;101;15;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Entre 15 i 64;No;455;583;2595;0;0;318;67;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Entre 15 i 64;Si;0;6;2;0;0;9;1;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Entre 65 i 74;No;56;77;239;1;4;197;50;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Entre 65 i 74;Si;0;5;4;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Majors de 74;No;50;194;219;0;0;381;23;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Majors de 74;Si;6;35;39;0;0;67;0;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Menors de 15;No;57;46;634;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-16;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Entre 15 i 64;No;429;363;1908;0;7;549;179;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Entre 15 i 64;Si;0;4;18;0;0;15;1;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Entre 65 i 74;No;44;120;175;0;1;339;112;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Entre 65 i 74;Si;0;3;6;0;0;11;1;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Majors de 74;No;53;190;169;0;4;444;66;1
CATALUNYA;CATALUNYA;2020-11-16;Home;Majors de 74;Si;5;7;14;0;0;47;0;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Menors de 15;No;65;45;695;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-11-16;Home;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-15;Altres;N/A;--;10;37;10;3;0;99;16;0
CATALUNYA;CATALUNYA;2020-11-15;Dona;Entre 15 i 64;No;163;1303;707;22;7;329;71;0
CATALUNYA;CATALUNYA;2020-11-15;Dona;Entre 15 i 64;Si;1;9;6;2;0;6;1;0
CATALUNYA;CATALUNYA;2020-11-15;Dona;Entre 65 i 74;No;17;157;72;10;2;200;46;0
CATALUNYA;CATALUNYA;2020-11-15;Dona;Entre 65 i 74;Si;1;13;2;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-11-15;Dona;Majors de 74;No;29;274;72;11;2;383;23;10
CATALUNYA;CATALUNYA;2020-11-15;Dona;Majors de 74;Si;7;111;11;5;0;60;0;7
CATALUNYA;CATALUNYA;2020-11-15;Dona;Menors de 15;No;20;280;149;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-15;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-15;Home;Entre 15 i 64;No;159;889;620;12;9;595;179;0
CATALUNYA;CATALUNYA;2020-11-15;Home;Entre 15 i 64;Si;0;5;2;0;0;17;1;2
CATALUNYA;CATALUNYA;2020-11-15;Home;Entre 65 i 74;No;21;205;77;10;3;345;111;0
CATALUNYA;CATALUNYA;2020-11-15;Home;Entre 65 i 74;Si;0;8;1;1;0;8;1;2
CATALUNYA;CATALUNYA;2020-11-15;Home;Majors de 74;No;21;267;61;9;5;454;68;9
CATALUNYA;CATALUNYA;2020-11-15;Home;Majors de 74;Si;2;38;8;2;0;47;0;3
CATALUNYA;CATALUNYA;2020-11-15;Home;Menors de 15;No;22;344;190;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-11-15;Home;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-14;Altres;N/A;--;31;258;13;1;1;97;17;0
CATALUNYA;CATALUNYA;2020-11-14;Dona;Entre 15 i 64;No;307;3154;983;15;2;320;67;1
CATALUNYA;CATALUNYA;2020-11-14;Dona;Entre 15 i 64;Si;7;58;8;1;0;5;1;0
CATALUNYA;CATALUNYA;2020-11-14;Dona;Entre 65 i 74;No;25;327;93;11;3;193;43;2
CATALUNYA;CATALUNYA;2020-11-14;Dona;Entre 65 i 74;Si;4;27;2;0;0;6;0;1
CATALUNYA;CATALUNYA;2020-11-14;Dona;Majors de 74;No;39;497;100;25;1;381;21;7
CATALUNYA;CATALUNYA;2020-11-14;Dona;Majors de 74;Si;28;288;18;2;0;57;0;9
CATALUNYA;CATALUNYA;2020-11-14;Dona;Menors de 15;No;70;969;230;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-14;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-14;Home;Entre 15 i 64;No;262;1951;868;45;12;596;183;1
CATALUNYA;CATALUNYA;2020-11-14;Home;Entre 15 i 64;Si;2;116;13;1;0;19;1;0
CATALUNYA;CATALUNYA;2020-11-14;Home;Entre 65 i 74;No;19;373;81;10;3;338;109;2
CATALUNYA;CATALUNYA;2020-11-14;Home;Entre 65 i 74;Si;4;37;1;0;0;9;1;1
CATALUNYA;CATALUNYA;2020-11-14;Home;Majors de 74;No;31;429;91;18;7;450;68;20
CATALUNYA;CATALUNYA;2020-11-14;Home;Majors de 74;Si;9;107;11;2;0;48;0;5
CATALUNYA;CATALUNYA;2020-11-14;Home;Menors de 15;No;56;1051;225;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-11-14;Home;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-13;Altres;N/A;--;52;447;20;5;2;100;19;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 15 i 64;No;709;9468;3617;32;5;308;71;1
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 15 i 64;Si;7;61;7;0;0;5;1;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 65 i 74;No;74;768;303;13;4;186;41;1
CATALUNYA;CATALUNYA;2020-11-13;Dona;Entre 65 i 74;Si;7;77;5;0;0;7;0;0
CATALUNYA;CATALUNYA;2020-11-13;Dona;Majors de 74;No;108;1025;317;31;5;367;22;14
CATALUNYA;CATALUNYA;2020-11-13;Dona;Majors de 74;Si;63;1055;104;2;0;53;0;10
